"site","mesAtual","diaAtual","anoAtual"
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=30/11/2007&numAta=273&sessaoAta=O",11,30,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=03/12/2007&numAta=275&sessaoAta=O",12,3,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=04/12/2007&numAta=276&sessaoAta=O",12,4,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=05/12/2007&numAta=279&sessaoAta=O",12,5,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=06/12/2007&numAta=281&sessaoAta=O",12,6,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=07/12/2007&numAta=282&sessaoAta=O",12,7,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=10/12/2007&numAta=283&sessaoAta=O",12,10,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=11/12/2007&numAta=284&sessaoAta=O",12,11,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=12/12/2007&numAta=286&sessaoAta=O",12,12,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=13/12/2007&numAta=287&sessaoAta=O",12,13,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=14/12/2007&numAta=289&sessaoAta=O",12,14,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=17/12/2007&numAta=291&sessaoAta=O",12,17,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=18/12/2007&numAta=292&sessaoAta=O",12,18,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=19/12/2007&numAta=294&sessaoAta=O",12,19,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=02/01/2008&numAta=1&sessaoAta=O",1,2,2008
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=03/01/2008&numAta=2&sessaoAta=O",1,3,2008
